Axis,Target Group,Attribute,a1,a2,a3
Age,Youth,socially aware,0,1,0
Age,Youth,well-educated,1,1,1
Age,Elderly,wise and k0wledgeable,1,1,1
Age,Elderly,set in their ways,1,1,1
Age,Elderly,traditional and conservative,1,1,1
Age,Elderly,caretakers of culture,1,1,1
Age,Elderly,slow and forgetful,1,1,0
Age,Elderly,respectful and revered,1,1,0
Age,Elderly,0stalgic for the past,1,1,1
Age,Elderly,grumpy or irritable,1,1,1
Age,Elderly,spiritual or religious,1,1,1
Age,Elderly,dependent on family,1,1,1
Gender,Men,Laid-back,1,0,1
Gender,Men,Macho,1,1,1
Gender,Men,Caring father,0,1,0
Gender,Men,Alcohol-loving,1,1,1
Gender,Men,Traditional,1,1,1
Gender,Men,Lazy,1,0,0
Gender,Men,Hardworking,0,1,1
Gender,Men,Family-oriented,1,1,1
Gender,Men,Womanizer,0,1,0
Gender,Men,Friendly,1,1,1
Gender,Women,Caring mother,1,1,1
Gender,Women,Traditional homemaker,1,1,1
Gender,Women,Socially graceful,1,1,1
Gender,Women,Reluctant to speak up,0,1,1
Gender,Women,Overly emotional,0,1,1
Gender,Women,Religious devotee,1,1,1
Gender,Women,Expert cook,1,1,0
Gender,Women,Fashion-conscious,0,1,0
Gender,Women,Submissive partner,1,1,1
Gender,Women,Community organizer,1,0,1
